Date,SPX
2/16/2024,5005.57
2/20/2024,4975.51
2/21/2024,4981.8
2/22/2024,5087.03
2/23/2024,5088.8
2/26/2024,5069.53
2/27/2024,5078.18
2/28/2024,5069.76
2/29/2024,5096.27
3/1/2024,5137.08
3/4/2024,5130.95
3/5/2024,5078.65
3/6/2024,5104.76
3/7/2024,5157.36
3/8/2024,5123.69
3/11/2024,5117.94
3/12/2024,5175.27
3/13/2024,5165.31
3/14/2024,5150.48
3/15/2024,5117.09
3/18/2024,5149.42
3/19/2024,5178.51
3/20/2024,5224.62
3/21/2024,5241.53
3/22/2024,5234.18
3/25/2024,5218.19
3/26/2024,5203.58
3/27/2024,5248.49
3/28/2024,5254.35
4/1/2024,5243.77
4/2/2024,5205.81
4/3/2024,5211.49
4/4/2024,5147.21
4/5/2024,5204.34
4/8/2024,5202.39
4/9/2024,5209.91
4/10/2024,5160.64
4/11/2024,5199.06
4/12/2024,5123.41
4/15/2024,5061.82
4/16/2024,5051.41
4/17/2024,5022.21
4/18/2024,5011.12
4/19/2024,4967.23
4/22/2024,5010.6
4/23/2024,5070.55
4/24/2024,5071.63
4/25/2024,5048.42
4/26/2024,5099.96
4/29/2024,5116.17
4/30/2024,5035.69
5/1/2024,5018.39
5/2/2024,5064.2
5/3/2024,5127.79
5/6/2024,5180.74
5/7/2024,5187.7
5/8/2024,5187.67
5/9/2024,5214.08
5/10/2024,5222.68
5/13/2024,5221.42
5/14/2024,5246.68
5/15/2024,5308.15
5/16/2024,5297.1
5/17/2024,5303.27
5/20/2024,5308.13
5/21/2024,5321.41
5/22/2024,5307.01
5/23/2024,5267.84
5/24/2024,5304.72
5/28/2024,5306.04
5/29/2024,5266.95
5/30/2024,5235.48
5/31/2024,5277.51
6/3/2024,5283.4
6/4/2024,5291.34
6/5/2024,5354.03
6/6/2024,5352.96
6/7/2024,5346.99
6/10/2024,5360.79
6/11/2024,5375.32
6/12/2024,5421.03
6/13/2024,5433.74
6/14/2024,5431.6
6/17/2024,5473.23
6/18/2024,5487.03
6/20/2024,5473.17
6/21/2024,5464.62
6/24/2024,5447.87
6/25/2024,5469.3
6/26/2024,5477.9
6/27/2024,5482.87
